type,year,condition,length_ft,beam_ft,hullMaterial,fuelType,numEngines,totalHP,price
1,1992,2,21,8.5,1,1,1,150,16500
1,2018,2,40,11,1,2,2,800,539000
1,2020,1,18,7.42,1,1,1,75,26995
1,2015,2,32,10.33,1,1,2,600,169995
1,1994,2,44,15,1,2,2,700,109900
1,2019,2,43,13.92,1,2,2,800,625000
1,2019,1,46,14.33,1,2,2,1100,949000
1,2019,1,50,19.67,1,2,2,1340,1349000
1,2009,2,103,23.42,1,2,2,3650,3299000
1,1971,2,42,13.83,1,2,2,840,59500
1,1979,2,43,14.5,1,2,2,900,79500
2,1986,2,30,10.67,1,2,1,0,25500
1,2019,1,23.7,8.5,2,1,1,200,44507
1,2000,2,55,16.13,1,2,2,0,299000
2,1989,2,30,11,1,2,1,18,31000
1,2017,2,35,11.33,1,1,2,760,323536
1,2019,1,22,7.75,2,1,1,175,36900
1,2019,1,20,7.75,2,1,1,115,22900
1,2000,2,48,16,1,2,2,1320,325000
1,1987,2,54,17.83,1,2,2,1800,169900
1,2001,2,38,13.42,1,2,2,660,89990
2,1977,2,36.42,11.42,1,2,1,43,39900
1,2018,2,35,9.83,1,1,3,900,315000
1,1999,2,35,13,1,2,2,740,174900
1,2000,2,31,10.5,1,1,2,500,39900
1,1988,2,28,11,1,1,2,620,49900
1,2019,1,26.17,8.5,2,0,1,150,35360
1,2019,1,20,8.17,2,0,1,60,22365
1,1975,2,28,10.25,1,1,2,460,9900
1,2005,2,26,8.5,1,1,1,350,30000
1,2015,2,24,8.5,1,1,1,200,59900
1,1998,2,24,8.5,1,1,1,225,29999
1,2007,2,22,8.5,1,1,1,200,26400
1,2008,2,21.58,8.08,1,1,1,150,27900
1,2019,2,23,8.5,1,1,1,200,54000
1,2018,1,65,17.17,1,2,2,2300,2648460
1,2018,1,40,16.13,1,2,2,740,499000
1,2019,1,42,16.13,1,2,2,870,649000
1,2019,1,42,16.13,1,2,2,870,649000
1,2018,1,51,16.13,1,2,2,1340,1099000
1,2019,1,44,16.13,1,2,2,870,799000
1,2019,1,50,16.13,1,2,2,1340,1099000
1,2019,1,50,16.13,1,2,2,1340,1099000
1,2019,1,51,16.13,1,2,2,1340,1199000
1,2019,1,50,16.13,1,2,2,1340,1149000
1,2019,1,47,16.13,1,2,2,1100,899000
1,2019,1,51,16.13,1,2,2,1340,1225000
1,2019,1,43,16.13,1,2,2,870,649000
1,2019,1,43,16.13,1,2,2,870,649000
1,2019,1,43,16.13,1,2,2,870,649000
1,2019,1,48,16.13,1,2,2,870,799000
1,2019,1,47,16.13,1,2,2,1100,949000
1,2019,1,48,16.13,1,2,2,870,799000
1,2019,2,24.99,8.5,2,1,1,250,54000
1,2019,1,48,16.13,1,2,2,870,799000
1,2006,2,21,8.5,1,1,1,220,18500
1,2019,1,51,16.13,1,2,2,1340,1225000
1,2019,2,23,8,1,1,1,0,57000
1,2019,2,22.5,8.5,1,1,1,0,55000
1,2017,2,28.5,9,1,1,1,350,129000
1,2012,2,55,15.92,1,2,2,1600,699000
1,2017,2,24,8.5,1,1,1,300,119000
1,2019,1,22.75,8.5,2,1,1,115,35129
1,2020,1,20,8.5,2,1,1,70,24657
1,2018,2,40,12.67,1,2,2,740,480000
1,1992,2,62,18,1,2,2,2000,319000
1,2019,2,33,9.33,1,1,2,600,255900
1,2019,2,29,9.67,1,1,2,600,209000
1,2007,2,35,13.5,1,2,2,1080,285000
1,2015,2,24.5,8.5,1,1,1,380,84900
1,2017,2,38,12,1,2,2,740,499999
1,2018,2,20.92,8.08,1,1,1,150,43500
1,2014,2,45,14.17,1,2,2,960,590000
1,2020,1,19,7.42,1,1,1,200,32495
1,2002,2,21,8,1,1,1,0,14900
1,2018,2,29,9,9,3,1,0,119999
1,1983,2,22,8,1,1,1,292,6990
1,2019,1,16,6.5,2,3,1,0,16995
1,2011,2,21,8.5,1,1,1,260,29986
1,2018,2,52,14.75,1,2,2,870,899900
1,2019,1,21.7,8.5,2,1,1,150,39851
1,2018,1,20.83,8.5,2,1,1,115,29983
1,2014,2,23,8.5,1,1,1,300,69995
1,2007,2,28,8.25,1,1,1,0,54995
1,2018,2,34,11.67,1,1,3,1050,458093
1,2019,1,20.83,8.5,2,1,1,90,27768
1,2014,2,24.08,8.5,1,1,1,260,49995
1,2006,2,28,9.75,1,1,1,300,35000
1,2004,2,24.5,8.5,1,1,2,300,39000
2,2018,2,48,25.08,1,2,2,114,760000
1,2019,1,23.33,8.5,1,1,1,0,151700
1,2016,2,19.5,8.42,2,1,1,150,28995
1,1996,2,25,8.5,1,1,1,415,17490
1,1986,2,36,12.33,1,1,2,540,19900
1,1998,2,80,16,2,1,1,610,175000
1,2020,1,20,8.5,2,1,1,90,30995
1,2017,2,75,18.92,1,2,2,3600,4250000
1,2002,2,27,8.83,1,1,1,320,27500
1,2013,2,43,15.33,1,2,2,1200,559000
1,2010,2,22.17,8,1,1,1,250,49900
1,2012,2,19.33,7.67,1,1,1,0,24995
2,1994,2,54,16,1,2,1,0,100000
1,2012,2,44,16.5,1,2,2,2030,869000
1,2006,2,27,8.42,1,1,2,450,53500
1,2020,1,20,8,2,1,1,115,25295
